"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 20:26:43 MSK 2026","Wed Sep 16 20:26:43 MSK 2026","143","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsOk","Создание уникального пользователя: статус 200","Проверяем, что создание уникального пользователя возвращает статус 200"
"passed","Wed Sep 16 20:26:57 MSK 2026","Wed Sep 16 20:26:58 MSK 2026","336","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutIngredientsReturnsBadRequest","Создание заказа без ингредиентов: статус 400","Проверяем, что создание заказа без ингредиентов возвращает 400"
"passed","Wed Sep 16 20:26:43 MSK 2026","Wed Sep 16 20:26:43 MSK 2026","129","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutEmailReturnsForbidden","Создание пользователя без email: статус 403","Проверяем, что создание без email возвращает 403"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:43 MSK 2026","305","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsForbidden","Создание существующего пользователя: статус 403","Проверяем, что создание существующего пользователя возвращает 403"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","311","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsCorrectName","Логин существующего пользователя: корректное имя","Проверяем, что имя в ответе совпадает с отправленным"
"passed","Wed Sep 16 20:26:58 MSK 2026","Wed Sep 16 20:27:02 MSK 2026","4076","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsOrderNumber","Создание заказа с авторизацией: order.number > 0","Проверяем, что номер заказа больше 0"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","54","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutNameReturnsCorrectMessage","Создание пользователя без имени: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:38 MSK 2026","Wed Sep 16 20:26:38 MSK 2026","368","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithWrongPasswordReturnsUnauthorized","Логин с неверным паролем: статус 401","Проверяем, что логин с неверным паролем возвращает 401"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","153","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsCorrectName","Создание уникального пользователя: корректное имя","Проверяем, что имя созданного пользователя совпадает с отправленным"
"passed","Wed Sep 16 20:26:52 MSK 2026","Wed Sep 16 20:26:56 MSK 2026","4068","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithValidIngredientsReturnsOk","Создание заказа с валидными ингредиентами: статус 200","Проверяем, что создание заказа с валидными ингредиентами возвращает 200"
"passed","Wed Sep 16 20:26:40 MSK 2026","Wed Sep 16 20:26:40 MSK 2026","344","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithInvalidCredentialsReturnsCorrectMessage","Логин с неверными данными: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Wed Sep 16 20:26:39 MSK 2026","Wed Sep 16 20:26:40 MSK 2026","337","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsOk","Логин существующего пользователя: статус 200","Проверяем, что логин существующего пользователя возвращает 200"
"passed","Wed Sep 16 20:27:02 MSK 2026","Wed Sep 16 20:27:07 MSK 2026","4873","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithThreeIngredientsReturnsOk","Создание заказа с тремя ингредиентами: статус 200","Проверяем, что создание заказа с тремя ингредиентами возвращает 200"
"passed","Wed Sep 16 20:26:48 MSK 2026","Wed Sep 16 20:26:52 MSK 2026","4342","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsSuccessTrue","Создание заказа с авторизацией: success=true","Проверяем, что ответ содержит success=true"
"passed","Wed Sep 16 20:26:41 MSK 2026","Wed Sep 16 20:26:41 MSK 2026","171","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsCorrectEmail","Создание уникального пользователя: корректный email","Проверяем, что email созданного пользователя совпадает с отправленным"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","157","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsRefreshToken","Создание уникального пользователя: есть refreshToken","Проверяем, что ответ содержит refreshToken"
"passed","Wed Sep 16 20:27:07 MSK 2026","Wed Sep 16 20:27:11 MSK 2026","4211","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithMultipleIngredientsReturnsOk","Создание заказа с несколькими ингредиентами: статус 200","Проверяем, что создание заказа с несколькими ингредиентами возвращает 200"
"passed","Wed Sep 16 20:26:38 MSK 2026","Wed Sep 16 20:26:39 MSK 2026","323","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsRefreshToken","Логин существующего пользователя: есть refreshToken","Проверяем, что ответ содержит refreshToken"
"passed","Wed Sep 16 20:26:39 MSK 2026","Wed Sep 16 20:26:39 MSK 2026","398","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsAccessToken","Логин существующего пользователя: есть accessToken","Проверяем, что ответ содержит accessToken"
"passed","Wed Sep 16 20:26:36 MSK 2026","Wed Sep 16 20:26:38 MSK 2026","1185","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithoutPasswordReturnsUnauthorized","Логин без пароля: статус 401","Проверяем, что логин без пароля возвращает 401"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","148","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsSuccessTrue","Создание уникального пользователя: success=true","Проверяем, что ответ содержит success=true"
"passed","Wed Sep 16 20:26:42 MSK 2026","Wed Sep 16 20:26:42 MSK 2026","196","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsAccessToken","Создание уникального пользователя: есть accessToken","Проверяем, что ответ содержит accessToken"
"passed","Wed Sep 16 20:26:56 MSK 2026","Wed Sep 16 20:26:57 MSK 2026","290","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithInvalidHashReturnsInternalServerError","Создание заказа с неверным хешем: статус 500","Проверяем, что создание заказа с неверным хешем возвращает 500"
