"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 12:04:29 MSK 2026","Thu Sep 17 12:04:33 MSK 2026","4088","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsOrderNumber","Создание заказа с авторизацией: order.number > 0","Проверяем, что номер заказа больше 0"
"passed","Thu Sep 17 12:04:15 MSK 2026","Thu Sep 17 12:04:19 MSK 2026","4203","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsOk","Создание заказа с авторизацией: статус 200","Проверяем, что создание заказа с авторизацией возвращает 200"
"passed","Thu Sep 17 12:04:13 MSK 2026","Thu Sep 17 12:04:13 MSK 2026","212","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsRefreshToken","Создание уникального пользователя: есть refreshToken","Проверяем, что ответ содержит refreshToken"
"passed","Thu Sep 17 12:04:13 MSK 2026","Thu Sep 17 12:04:13 MSK 2026","55","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutEmailReturnsCorrectMessage","Создание пользователя без email: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:33 MSK 2026","Thu Sep 17 12:04:37 MSK 2026","4236","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithThreeIngredientsReturnsOk","Создание заказа с тремя ингредиентами: статус 200","Проверяем, что создание заказа с тремя ингредиентами возвращает 200"
"passed","Thu Sep 17 12:04:13 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","137","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsSuccessTrue","Создание уникального пользователя: success=true","Проверяем, что ответ содержит success=true"
"passed","Thu Sep 17 12:04:10 MSK 2026","Thu Sep 17 12:04:10 MSK 2026","317","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsSuccessTrue","Логин существующего пользователя: success=true","Проверяем, что ответ содержит success=true"
"passed","Thu Sep 17 12:04:23 MSK 2026","Thu Sep 17 12:04:23 MSK 2026","447","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutAuthReturnsSuccessTrue","Создание заказа без авторизации: success=true","Проверяем, что ответ содержит success=true при создании без авторизации"
"passed","Thu Sep 17 12:04:12 MSK 2026","Thu Sep 17 12:04:13 MSK 2026","60","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutPasswordReturnsCorrectMessage","Создание пользователя без пароля: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","56","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutPasswordReturnsForbidden","Создание пользователя без пароля: статус 403","Проверяем, что создание без пароля возвращает 403"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","388","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsSuccessFalse","Создание существующего пользователя: success=false","Проверяем, что ответ содержит success=false"
"passed","Thu Sep 17 12:04:13 MSK 2026","Thu Sep 17 12:04:13 MSK 2026","367","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsCorrectMessage","Создание существующего пользователя: сообщение об ошибке","Проверяем, что сообщение об ошибке корректно"
"passed","Thu Sep 17 12:04:28 MSK 2026","Thu Sep 17 12:04:28 MSK 2026","276","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutAuthReturnsOk","Создание заказа без авторизации: статус 200","Проверяем, что создание заказа без авторизации возвращает 200"
"passed","Thu Sep 17 12:04:19 MSK 2026","Thu Sep 17 12:04:23 MSK 2026","4201","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithAuthReturnsSuccessTrue","Создание заказа с авторизацией: success=true","Проверяем, что ответ содержит success=true"
"passed","Thu Sep 17 12:04:11 MSK 2026","Thu Sep 17 12:04:11 MSK 2026","407","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsOk","Логин существующего пользователя: статус 200","Проверяем, что логин существующего пользователя возвращает 200"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","58","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutEmailReturnsForbidden","Создание пользователя без email: статус 403","Проверяем, что создание без email возвращает 403"
"passed","Thu Sep 17 12:04:07 MSK 2026","Thu Sep 17 12:04:09 MSK 2026","1558","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithoutPasswordReturnsUnauthorized","Логин без пароля: статус 401","Проверяем, что логин без пароля возвращает 401"
"passed","Thu Sep 17 12:04:12 MSK 2026","Thu Sep 17 12:04:12 MSK 2026","58","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUserWithoutNameReturnsForbidden","Создание пользователя без имени: статус 403","Проверяем, что создание без имени возвращает 403"
"passed","Thu Sep 17 12:04:14 MSK 2026","Thu Sep 17 12:04:14 MSK 2026","271","","tests.UserCreationTest","","tests.UserCreationTest","testCreateExistingUserReturnsForbidden","Создание существующего пользователя: статус 403","Проверяем, что создание существующего пользователя возвращает 403"
"passed","Thu Sep 17 12:04:10 MSK 2026","Thu Sep 17 12:04:10 MSK 2026","355","","tests.UserLoginTest","","tests.UserLoginTest","testLoginExistingUserReturnsRefreshToken","Логин существующего пользователя: есть refreshToken","Проверяем, что ответ содержит refreshToken"
"passed","Thu Sep 17 12:04:29 MSK 2026","Thu Sep 17 12:04:29 MSK 2026","393","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithoutIngredientsReturnsBadRequest","Создание заказа без ингредиентов: статус 400","Проверяем, что создание заказа без ингредиентов возвращает 400"
"passed","Thu Sep 17 12:04:28 MSK 2026","Thu Sep 17 12:04:28 MSK 2026","364","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithInvalidHashReturnsInternalServerError","Создание заказа с неверным хешем: статус 500","Проверяем, что создание заказа с неверным хешем возвращает 500"
"passed","Thu Sep 17 12:04:13 MSK 2026","Thu Sep 17 12:04:13 MSK 2026","183","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsCorrectName","Создание уникального пользователя: корректное имя","Проверяем, что имя созданного пользователя совпадает с отправленным"
"passed","Thu Sep 17 12:04:37 MSK 2026","Thu Sep 17 12:04:42 MSK 2026","4367","","tests.OrderCreationTest","","tests.OrderCreationTest","testCreateOrderWithMultipleIngredientsReturnsOk","Создание заказа с несколькими ингредиентами: статус 200","Проверяем, что создание заказа с несколькими ингредиентами возвращает 200"
"passed","Thu Sep 17 12:04:09 MSK 2026","Thu Sep 17 12:04:10 MSK 2026","445","","tests.UserLoginTest","","tests.UserLoginTest","testLoginWithWrongPasswordReturnsUnauthorized","Логин с неверным паролем: статус 401","Проверяем, что логин с неверным паролем возвращает 401"
"passed","Thu Sep 17 12:04:12 MSK 2026","Thu Sep 17 12:04:12 MSK 2026","171","","tests.UserCreationTest","","tests.UserCreationTest","testCreateUniqueUserReturnsCorrectEmail","Создание уникального пользователя: корректный email","Проверяем, что email созданного пользователя совпадает с отправленным"
